time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450150000	15.2342	20.1888	4.91282	2.66099	0.465745	radar	0.0806314	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0497	20.305	4.85609	2.67796	0.460323	lidar	0.311026	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8148	20.3832	4.86661	2.71946	0.496178	radar	0.0735051	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.5975	20.4969	4.87762	2.73888	0.490507	lidar	0.129595	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.364	20.5823	4.91271	2.77789	0.52961	radar	0.0205798	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.12	20.663	4.93615	2.80735	0.532289	lidar	0.0725714	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8815	20.7364	4.9664	2.84431	0.561159	radar	0.0124999	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.603	20.8127	5.05619	2.87432	0.561287	lidar	0.204738	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.341	20.8486	5.13513	2.9333	0.63856	radar	0.0919538	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1034	20.8842	5.09357	2.96912	0.643672	lidar	0.0258672	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8727	20.9511	5.04667	2.98516	0.61251	radar	0.0726845	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6903	20.9721	4.89619	3.01905	0.621058	lidar	0.344126	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4488	21.0091	4.89811	3.04592	0.614379	radar	0.00596009	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1969	21.0446	4.92716	3.07186	0.608192	lidar	0.0345691	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9588	21.0692	4.93077	3.10091	0.611376	radar	0.0208433	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7277	21.0448	4.88004	3.14351	0.626314	lidar	0.264644	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4788	21.0281	4.87753	3.17867	0.627916	radar	0.0291873	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2701	21.0124	4.80403	3.21375	0.634889	lidar	0.0975579	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0169	20.9647	4.81406	3.25405	0.641119	radar	0.118308	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8153	20.9231	4.73373	3.29412	0.653459	lidar	0.0552381	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.596	20.9088	4.55185	3.30001	0.582487	radar	0.132652	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2791	20.9465	4.76413	3.29026	0.528945	lidar	0.69881	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0515	20.9272	4.75561	3.31106	0.523016	radar	0.0323566	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.8662	20.8835	4.65639	3.34492	0.53564	lidar	0.213243	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.65104	20.8705	4.49915	3.34227	0.46725	radar	0.119626	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.46186	20.8233	4.43739	3.37137	0.476092	lidar	0.0727371	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.25225	20.78	4.48321	3.39983	0.495021	radar	0.0456687	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.91792	20.7716	4.73023	3.38537	0.441441	lidar	0.510838	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.69302	20.693	4.76856	3.423	0.471677	radar	0.0247673	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.3985	20.6295	4.90857	3.43358	0.452417	lidar	0.424279	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16575	20.5484	4.95221	3.46639	0.475517	radar	0.0117909	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.91885	20.4717	4.98136	3.4869	0.470928	lidar	0.0132205	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.69505	20.3926	5.05683	3.52187	0.507477	radar	0.100842	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.35614	20.3386	5.2689	3.51091	0.459911	lidar	0.363313	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.10961	20.2454	5.23909	3.52785	0.443232	radar	0.010986	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.84666	20.1579	5.28262	3.54173	0.43273	lidar	0.0182126	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.6084	20.0732	5.23672	3.55334	0.412677	radar	0.0214711	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.37322	19.9742	5.22938	3.57319	0.412092	lidar	0.0135381	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.1467	19.8899	5.21468	3.58903	0.410458	radar	0.0778655	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.89037	19.7897	5.25757	3.60055	0.399081	lidar	0.0243612	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.65396	19.6384	5.37511	3.64361	0.449309	radar	0.0907831	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.5138	19.4985	5.19202	3.69269	0.48526	lidar	0.35305	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.29675	19.3522	5.19137	3.72079	0.489304	radar	0.0103848	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.09776	19.2344	5.14879	3.74249	0.487834	lidar	0.355286	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.90257	19.1345	4.97394	3.74634	0.443541	radar	0.159159	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.77083	18.9804	4.85073	3.79353	0.477945	lidar	0.154191	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
